rank,seed,src_acc,tgt_acc,majority,frozen_acc,task_acc,task,pair
-1,123,0.847,0.855,0.529,0.671,0.812,sst2_sentiment,within_family_llama
-1,456,0.843,0.868,0.525,0.586,0.806,sst2_sentiment,within_family_llama
4,42,0.704,0.736,0.621,,0.602,toxigen_toxicity,cross_arch_gemma_qwen
4,123,0.71,0.74,0.648,,0.642,toxigen_toxicity,cross_arch_gemma_qwen
4,456,0.703,0.743,0.622,,0.621,toxigen_toxicity,cross_arch_gemma_qwen
8,42,0.704,0.736,0.621,,0.57,toxigen_toxicity,cross_arch_gemma_qwen
8,123,0.71,0.74,0.648,,0.609,toxigen_toxicity,cross_arch_gemma_qwen
8,456,0.703,0.743,0.622,,0.579,toxigen_toxicity,cross_arch_gemma_qwen
16,42,0.704,0.736,0.621,,0.59,toxigen_toxicity,cross_arch_gemma_qwen
16,123,0.71,0.74,0.648,,0.615,toxigen_toxicity,cross_arch_gemma_qwen
16,456,0.703,0.743,0.622,,0.61,toxigen_toxicity,cross_arch_gemma_qwen
32,42,0.704,0.736,0.621,0.645,0.603,toxigen_toxicity,cross_arch_gemma_qwen
32,123,0.71,0.74,0.648,0.68,0.621,toxigen_toxicity,cross_arch_gemma_qwen
32,456,0.703,0.743,0.622,0.647,0.616,toxigen_toxicity,cross_arch_gemma_qwen
64,42,0.704,0.736,0.621,0.667,0.599,toxigen_toxicity,cross_arch_gemma_qwen
64,123,0.71,0.74,0.648,0.682,0.63,toxigen_toxicity,cross_arch_gemma_qwen
64,456,0.703,0.743,0.622,0.661,0.59,toxigen_toxicity,cross_arch_gemma_qwen
128,42,0.704,0.736,0.621,0.661,0.601,toxigen_toxicity,cross_arch_gemma_qwen
128,123,0.71,0.74,0.648,0.665,0.644,toxigen_toxicity,cross_arch_gemma_qwen
128,456,0.703,0.743,0.622,0.649,0.605,toxigen_toxicity,cross_arch_gemma_qwen
256,42,0.704,0.736,0.621,0.64,0.6,toxigen_toxicity,cross_arch_gemma_qwen
256,123,0.71,0.74,0.648,0.669,0.626,toxigen_toxicity,cross_arch_gemma_qwen
256,456,0.703,0.743,0.622,0.644,0.602,toxigen_toxicity,cross_arch_gemma_qwen
-1,42,0.704,0.736,0.621,0.644,0.584,toxigen_toxicity,cross_arch_gemma_qwen
-1,123,0.71,0.74,0.648,0.64,0.61,toxigen_toxicity,cross_arch_gemma_qwen
-1,456,0.703,0.743,0.622,0.624,0.574,toxigen_toxicity,cross_arch_gemma_qwen
4,42,0.773,0.798,0.621,0.621,0.618,toxigen_toxicity,within_family_llama
4,123,0.775,0.834,0.648,0.648,0.636,toxigen_toxicity,within_family_llama
4,456,0.769,0.788,0.622,0.622,0.628,toxigen_toxicity,within_family_llama
8,42,0.773,0.798,0.621,0.621,0.715,toxigen_toxicity,within_family_llama
8,123,0.775,0.834,0.648,0.648,0.708,toxigen_toxicity,within_family_llama
8,456,0.769,0.788,0.622,0.622,0.718,toxigen_toxicity,within_family_llama
16,42,0.773,0.798,0.621,0.621,0.767,toxigen_toxicity,within_family_llama
16,123,0.775,0.834,0.648,0.648,0.773,toxigen_toxicity,within_family_llama
16,456,0.769,0.788,0.622,0.622,0.762,toxigen_toxicity,within_family_llama
32,42,0.773,0.798,0.621,0.623,0.793,toxigen_toxicity,within_family_llama
32,123,0.775,0.834,0.648,0.648,0.788,toxigen_toxicity,within_family_llama
32,456,0.769,0.788,0.622,0.631,0.786,toxigen_toxicity,within_family_llama
64,42,0.773,0.798,0.621,0.628,0.811,toxigen_toxicity,within_family_llama
64,123,0.775,0.834,0.648,0.659,0.802,toxigen_toxicity,within_family_llama
64,456,0.769,0.788,0.622,0.636,0.791,toxigen_toxicity,within_family_llama
128,42,0.773,0.798,0.621,0.638,0.805,toxigen_toxicity,within_family_llama
128,123,0.775,0.834,0.648,0.67,0.799,toxigen_toxicity,within_family_llama
128,456,0.769,0.788,0.622,0.647,0.788,toxigen_toxicity,within_family_llama
256,42,0.773,0.798,0.621,0.689,0.81,toxigen_toxicity,within_family_llama
256,123,0.775,0.834,0.648,0.728,0.789,toxigen_toxicity,within_family_llama
256,456,0.769,0.788,0.622,0.71,0.804,toxigen_toxicity,within_family_llama
-1,42,0.773,0.798,0.621,0.74,0.78,toxigen_toxicity,within_family_llama
-1,123,0.775,0.834,0.648,0.742,0.776,toxigen_toxicity,within_family_llama
-1,456,0.769,0.788,0.622,0.735,0.755,toxigen_toxicity,within_family_llama
4,42,0.719,0.986,0.512,,0.506,agnews_sports,cross_arch_gemma_qwen
4,123,0.711,0.982,0.516,,0.495,agnews_sports,cross_arch_gemma_qwen
4,456,0.739,0.983,0.512,,0.484,agnews_sports,cross_arch_gemma_qwen
8,42,0.719,0.986,0.512,,0.501,agnews_sports,cross_arch_gemma_qwen
8,123,0.711,0.982,0.516,,0.502,agnews_sports,cross_arch_gemma_qwen
8,456,0.739,0.983,0.512,,0.488,agnews_sports,cross_arch_gemma_qwen
16,42,0.719,0.986,0.512,,0.501,agnews_sports,cross_arch_gemma_qwen
16,123,0.711,0.982,0.516,,0.501,agnews_sports,cross_arch_gemma_qwen
16,456,0.739,0.983,0.512,,0.491,agnews_sports,cross_arch_gemma_qwen
32,42,0.719,0.986,0.512,0.713,0.503,agnews_sports,cross_arch_gemma_qwen
32,123,0.711,0.982,0.516,0.686,0.497,agnews_sports,cross_arch_gemma_qwen
32,456,0.739,0.983,0.512,0.686,0.514,agnews_sports,cross_arch_gemma_qwen
64,42,0.719,0.986,0.512,0.727,0.501,agnews_sports,cross_arch_gemma_qwen
64,123,0.711,0.982,0.516,0.697,0.494,agnews_sports,cross_arch_gemma_qwen
64,456,0.739,0.983,0.512,0.701,0.496,agnews_sports,cross_arch_gemma_qwen
128,42,0.719,0.986,0.512,0.732,0.502,agnews_sports,cross_arch_gemma_qwen
128,123,0.711,0.982,0.516,0.701,0.492,agnews_sports,cross_arch_gemma_qwen
128,456,0.739,0.983,0.512,0.702,0.524,agnews_sports,cross_arch_gemma_qwen
256,42,0.719,0.986,0.512,0.731,0.502,agnews_sports,cross_arch_gemma_qwen
256,123,0.711,0.982,0.516,0.696,0.494,agnews_sports,cross_arch_gemma_qwen
256,456,0.739,0.983,0.512,0.712,0.518,agnews_sports,cross_arch_gemma_qwen
-1,42,0.719,0.986,0.512,0.732,0.501,agnews_sports,cross_arch_gemma_qwen
-1,123,0.711,0.982,0.516,0.692,0.497,agnews_sports,cross_arch_gemma_qwen
-1,456,0.739,0.983,0.512,0.714,0.508,agnews_sports,cross_arch_gemma_qwen
4,42,0.983,0.989,0.512,0.515,0.929,agnews_sports,within_family_llama
4,123,0.987,0.986,0.516,0.484,0.932,agnews_sports,within_family_llama
4,456,0.984,0.983,0.512,0.49,0.926,agnews_sports,within_family_llama
8,42,0.983,0.989,0.512,0.519,0.944,agnews_sports,within_family_llama
8,123,0.987,0.986,0.516,0.493,0.944,agnews_sports,within_family_llama
8,456,0.984,0.983,0.512,0.494,0.943,agnews_sports,within_family_llama
16,42,0.983,0.989,0.512,0.525,0.952,agnews_sports,within_family_llama
16,123,0.987,0.986,0.516,0.501,0.95,agnews_sports,within_family_llama
16,456,0.984,0.983,0.512,0.51,0.953,agnews_sports,within_family_llama
32,42,0.983,0.989,0.512,0.548,0.963,agnews_sports,within_family_llama
32,123,0.987,0.986,0.516,0.528,0.966,agnews_sports,within_family_llama
32,456,0.984,0.983,0.512,0.528,0.965,agnews_sports,within_family_llama
64,42,0.983,0.989,0.512,0.718,0.961,agnews_sports,within_family_llama
64,123,0.987,0.986,0.516,0.733,0.963,agnews_sports,within_family_llama
64,456,0.984,0.983,0.512,0.641,0.975,agnews_sports,within_family_llama
128,42,0.983,0.989,0.512,0.933,0.972,agnews_sports,within_family_llama
128,123,0.987,0.986,0.516,0.942,0.97,agnews_sports,within_family_llama
128,456,0.984,0.983,0.512,0.91,0.978,agnews_sports,within_family_llama
256,42,0.983,0.989,0.512,0.965,0.969,agnews_sports,within_family_llama
256,123,0.987,0.986,0.516,0.961,0.967,agnews_sports,within_family_llama
256,456,0.984,0.983,0.512,0.946,0.974,agnews_sports,within_family_llama
-1,42,0.983,0.989,0.512,0.981,0.969,agnews_sports,within_family_llama
-1,123,0.987,0.986,0.516,0.973,0.973,agnews_sports,within_family_llama
-1,456,0.984,0.983,0.512,0.976,0.977,agnews_sports,within_family_llama
