Front,Back,Tags
"What is an Activation Oracle? (Karvonen et al., Dec 2025)","An LLM fine-tuned (via LoRA) to accept neural network activations as input and generate natural language descriptions of what those activations contain. Mechanically: a special placeholder token <activation> in the prompt has its embedding REPLACED with the raw activation vector during the forward pass. The LoRA training teaches the model to interpret this 'fake token' as meaningful information.","activation-oracles,foundation,cross-model-oracles"
"How are activation vectors physically fed into an oracle (an LLM that expects text tokens)?","A special placeholder token (e.g., <activation>) is included in the prompt. During the forward pass, that token's embedding (from the lookup table) is REPLACED with the actual activation vector from the source model. The LoRA fine-tuning teaches the oracle to interpret this continuous vector as if it were a meaningful token embedding.","activation-oracles,architecture,cross-model-oracles"
"What are the three key claims of the Activation Oracles paper?","(1) Oracles generalize beyond training distribution — trained on specific tasks but can answer novel questions about activations. (2) Oracles recover information not in input text — can extract info about fine-tuning data from activations alone. (3) Single-architecture limitation — a Gemma oracle only reads Gemma activations. Cross-architecture transfer was not tested. This is OUR gap.","activation-oracles,foundation,cross-model-oracles"
"Why are oracles a sharper test of the Platonic hypothesis than probes or steering vectors?","A probe extracts one bit (toxic/not-toxic). A steering vector pushes in one direction. An oracle is a full LLM that generates OPEN-ENDED natural language about what an activation contains — answering arbitrary questions from a single activation. If an oracle transfers cross-model, that's evidence the ENTIRE representational structure is aligned, not just cherry-picked features.","activation-oracles,platonic-hypothesis,cross-model-oracles"
"What model pairs have matching d_model for clean orthogonal Procrustes?","d_model=2048: Llama-3.2-1B + Pythia-1.4B + Pythia-1B (best pair: Llama vs Pythia — different architectures, different training data, different tokenizers). d_model=2560: Phi-2 + Pythia-2.8B. d_model=1024: GPT2-Medium + Pythia-410M. Start with Llama-3.2-1B vs Pythia-1.4B for the cleanest experiment.","models,experimental-design,cross-model-oracles"
"What is the experimental design for the cross-model activation oracle project?","Phase A (strong claim): Llama-3.2-1B vs Pythia-1.4B (both d=2048). Orthogonal Procrustes. Tests if representations are rotations of each other. Phase B1: Mismatched dims, low-rank W=AB (LoRA-style). Phase B2: Full ridge regression W. Phase B3: L1 sparse W as diagnostic. The progression from strong to weak constraints is the methodological contribution.","experimental-design,cross-model-oracles"
"What are the 5 closest prior works to the cross-model activation oracle project?","(1) 'Activation Space Interventions Transferred Between LLMs' (ICML 2025) — transfers steering vectors. (2) 'Transferring Linear Features Across LMs' (NeurIPS 2025) — transfers SAEs/probes via affine stitching. (3) 'Theseus' (Feb 2026) — orthogonal Procrustes in weight space. (4) 'Universal SAEs' (ICML 2025) — cross-model SAE dictionaries. (5) 'Cross-model Transferability' (ACL 2025) — concept steering transfer. NONE test oracle transfer.","novelty,prior-work,cross-model-oracles"
"What is the precise novelty gap of cross-model activation oracle research?","Prior work transfers probes (simple classifiers), steering vectors (static directions), and SAEs (dictionary features) across models. Nobody has tested whether an LLM-based GENERATIVE oracle — which reads activations and answers arbitrary questions in natural language — preserves its ability after activation alignment. The oracle is qualitatively different: it tests full representational structure, not single features.","novelty,cross-model-oracles"
"What does CKA ≈ 0 vs CKA ≈ 1 mean in practice?","CKA = 1: The two models organize information identically (up to rotation + scaling). Same prompts are similar/dissimilar in the same patterns. CKA = 0: Completely unrelated organization — knowing which prompts are similar in Model A tells you nothing about Model B. For our project, CKA > ~0.5 between matched layers suggests Procrustes alignment is worth attempting.","CKA,interpretation,cross-model-oracles"
"What is the CKA formula and what is its structure analogous to?","CKA(K,L) = HSIC(K,L) / sqrt(HSIC(K,K) · HSIC(L,L)). Same structure as Pearson correlation: r = cov(x,y) / sqrt(var(x)·var(y)). Numerator measures how related K and L are; denominator normalizes by each matrix's self-relatedness. This normalization solves the baseline problem — you don't need random model comparisons.","CKA,formula,cross-model-oracles"
"What is SVCCA and how does it relate to CKA?","Singular Vector Canonical Correlation Analysis (Raghu et al., 2017, NeurIPS). Uses SVD to reduce dimensionality, then canonical correlation to compare representation spaces. CKA supersedes it — CKA is more reliable and has better invariance properties. But SVCCA's key finding remains relevant: neural network representations have much lower intrinsic dimensionality than their nominal d_model.","SVCCA,CKA,methodology,cross-model-oracles"
"How did Conneau et al. (2018) use Procrustes for word embeddings?","'Word Translation Without Parallel Data' (ICLR 2018): aligned monolingual word embedding spaces using adversarial learning to find initial correspondences, then Procrustes refinement to find the optimal rotation matrix. Used frequent-word anchors as paired examples. Directly applicable to aligning activation spaces between LLMs — same mathematical framework.","Procrustes,word-embeddings,cross-model-oracles"
"What is Representation Engineering? (Zou et al., 2023)","A top-down approach to AI transparency: manipulate population-level representations to control LLM behavior. Identifies directions in activation space for concepts like honesty, harmlessness, power-seeking. Contrasts with bottom-up approaches (probes on individual neurons). Complementary to oracles — RepE finds directions, oracles can read/describe them.","representation-engineering,related-work,cross-model-oracles"
"What are Relative Representations? (Moschella et al., ICLR 2023)","Instead of aligning coordinate systems, represent each activation RELATIVE to a set of anchor points: compute cosine angles between the activation and each anchor. These angle-based representations are naturally invariant across different models — no rotation/alignment needed. Enables zero-shot model stitching. Alternative approach to Procrustes for our project.","relative-representations,alignment,cross-model-oracles"
